sample_fraction_coded,sample_class2,n-C14:0,i-C15:0,C16:1 w7 (trans),i-C16:0,C16:1 w7 (cis),n-C16:0,10_14_DiMe_C17,C17:1 w8 (trans),i-C17:0,ai-C17:0,i-C18:0,ai-C18:0,C18:1 w7,ai-C15:0,C16:1 w5,C18:2_2,n-C18:0,n-C20:0,n-C22:0,n-C24:0,n-C12:0,C18:2_1,C18:1_1,C18:1 w9,C16-diacid,C22-diacid,n-C26:0,C17:1 w8 (cis),m-C18:0_2,n-C15:0,n-C21:0,m-C16:0_1,C19:1_3,C20:1_1,m-C23:0-C2,C18-diacid,n-C23:0,C20-diacid,n-C25:0,m-C15:0_1,diacid_unknown7
V460-20180731-I-07-P2,polyp/coralloid,NA,NA,NA,NA,0.19520286873866052,0.09938836908415044,NA,0.18881784998234397,NA,NA,NA,NA,0.0073200344311686785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B140-20180802-A-03-P2,mineral,NA,0.3355945580978117,0.26211744576576457,0.21684578102929242,0.2601773622961602,0.05952514458605605,NA,NA,NA,NA,NA,NA,0.09706810066708432,NA,NA,0.12224903709375588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28441405211595233,0.2865956037774163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20180731-G-01-P2,white biofilm,NA,0.11993793673516354,0.23020673322562343,0.19536759280683452,NA,0.011672802781525741,0.2037036755019,NA,0.11740996642893944,NA,0.1838961076813242,NA,-0.035716295801223645,NA,NA,-0.038246932701056426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20180801-A-03-P2,white biofilm,NA,NA,NA,NA,0.16828878626646235,0.13657025180585766,NA,NA,NA,NA,NA,NA,-0.02589679065830193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20180801-F-01-P2,mixed biofilm,0.13148040910570563,0.26451118953808844,NA,NA,0.2236543758471488,0.18077121009919897,NA,NA,NA,NA,NA,NA,0.0656935842348222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L820-20180802-B-03-P2,yellow biofilm,0.16567529539119216,0.2514485494834485,0.24892121763760752,0.26498181428456696,0.2177792174156115,0.16098601924408423,0.2451103302012697,0.2551750216074596,NA,NA,0.29045524041426823,NA,0.027898622132188376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L300-20180802-A-02-P2,tan biofilm,NA,0.24478505340533135,0.25992112485677854,0.26729710257612305,0.16840775364903254,NA,0.249049885505335,0.24347573615902357,NA,0.21956291095672614,0.2911829523338657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L780-20190811-F-01-P2,surface soil,0.21274763660309612,0.007762496176854215,0.08182759761729261,0.0912501896471713,0.033899220849928476,0.17088921266893498,NA,NA,NA,NA,NA,NA,0.045720025146202596,-0.013229173033940549,NA,NA,0.14701354513865636,0.10846573639422502,0.0843347704873294,0.09848276975529084,NA,0.12651225469631952,NA,0.07527726817272126,NA,NA,NA,NA,NA,0.16276332106739572,0.09705250277607122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L480-20190805-F-01-P2,surface soil,0.17609012953301,0.04089251237325463,0.11409091513498315,0.09706682818869262,NA,0.17469449021946315,NA,NA,0.06950880078404473,0.04123378913028291,0.12993217636708304,0.11085357333978373,0.08049378869452588,0.023736380314045367,0.061451242352679666,0.11116364623793293,0.15333356038622736,0.14819087098173067,0.12841301194215038,0.13814680849767957,0.1897986738943248,NA,NA,0.07545054420403995,0.09066283167216597,NA,0.14523489881096635,0.17835395818559976,0.05877956603295817,-0.009908049100332394,0.10050752182478928,0.09491956442803756,0.17881988287670583,0.09576799547483991,0.14659151073972293,0.16613899852214428,0.15081671841081315,0.11034871507732513,0.18417315935261389,NA,NA
L820-20190808-E-01-P2,surface soil,0.18140906193141465,0.02772533895169422,0.09577122178458426,0.09380516171681148,NA,0.1285237892730571,NA,NA,0.05047999069037155,0.02490519719132603,0.09930791777928609,NA,0.061542862742935085,0.01528014899396173,0.05873318695944541,NA,0.10229008947619193,0.12760861223514627,0.1255493534728692,0.14792419735822196,NA,0.09344389208781703,NA,0.050927425876885146,0.09185877604518895,NA,0.1725811366754583,0.19617357967800278,0.06563764895672917,NA,NA,NA,0.12688472438971332,NA,0.10866612048677028,NA,0.1374676452665607,0.12996832920547233,0.18802373782636242,0.035170793422418974,NA
L820-20190808-B-03-P2,ooze,NA,NA,NA,NA,NA,0.016784436145685186,NA,NA,NA,NA,NA,NA,0.020751371698026492,NA,0.010170501355481757,NA,0.024052736084203552,NA,-0.002882405058604521,0.0479643526940486,NA,NA,NA,-0.019913776915132006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V460-20190810-A-32-P2,polyp/coralloid,NA,NA,NA,-0.07395331306511849,0.09760128317118379,-0.1005087142570173,NA,0.007407651144843268,NA,NA,NA,NA,-0.09061951748427713,NA,NA,NA,-0.10468223539445652,NA,NA,NA,NA,NA,-0.08307745022635331,-0.1295063068286386,NA,NA,NA,NA,NA,NA,NA,NA,-0.08439746176869069,NA,NA,NA,NA,NA,NA,NA,NA
L480-20190811-E-01-P2,surface soil,0.14016936647756784,0.04924044617376416,0.1812540639018017,0.14446065406205397,NA,0.10410659165716937,NA,NA,0.0918651524421156,0.04746156500900539,0.10111363642144922,0.26480476727087343,0.07787640864250156,0.021976545620965057,0.09622423101679009,NA,0.10741541208677607,0.10243316345201901,0.10017236716631246,0.13003286953779677,NA,0.1092028911466952,NA,0.05297025908822129,0.0793376008670232,NA,0.153512929459438,0.11108488705177874,0.06636723224649216,0.16235720536899262,0.09731898030908409,NA,0.14595230766940678,0.05444762123392417,0.1309822282517649,NA,0.13011504589132275,0.08108431867683623,0.142770184561563,NA,NA
B090-20190804-G-01-P2,surface soil,0.15116661859859382,0.034557107478165296,0.09509170793627574,0.09588900418495784,NA,0.10301030931523156,0.14184191741341087,NA,0.05602589329770111,0.03094204855405834,0.0956691211215938,NA,0.05845125355256488,0.014991355608430493,0.04319497029478969,NA,0.08645813208833743,0.12304292633055874,0.12839459613205853,0.1328422515922438,NA,0.1195903332346942,NA,0.08103185637072596,0.12739282021940487,0.13712204034017295,0.21137571479847483,0.15527936668166165,0.07281492456977154,0.14022841220266907,0.1003145553353661,0.0933521524846058,0.1371821338731353,0.15879829787250951,0.1273289919247959,NA,0.1614996670639192,NA,0.1765830767841673,0.03039667776785728,NA
