sample,batch,"Nonanedioic acid, monomethylester_1","Nonanedioic acid, monomethylester_2",n-C12:0,i-C14:0,n-C14:0,m-C15:0_1,m-C15:0_2,i-C15:0,ai-C15:0,n-C15:0,m-C16:0_1,C16:1 w7 (trans),i-C16:0,C16:2,C16:1 w7 (c) + C16:1 w9,C16:1 w7 (cis),C16:1 w5,n-C16:0,diacid_unknown1,10_14_DiMe_C17,C17:1 w8 (t) + 12Me-C17:0,10Me_C17:0,m-C17:0 eh,C17:1 w8 (trans),C17:1 w8 (cis),C17_cyclic,m-C17:0_2,i-C17:0,ai-C17:0,i-C18:0,ai-C18:0,m-C18:0_1,m-C18:0_2,C18:1 w9,C18:2_1,C18:2_2,C18:1 w7,unknown2,C18:1_1,n-C18:0,i-C19:0,m-C19:0_1 + i-C19:0,m-C19:0,C19:1_3,m-C20:0_1,n-C19:0 + m-C20:0_3,m-C20:0_3,diacid_unknown3,C16-diacid,C20:1_1,n-C20:0,m-C22:0-C2,m-C23:0-C2,n-C21:0,m-C23:0-C2 + n-C21:0,C18-diacid,n-C22:0,n-C23:0,C20-diacid,m-C27:0-C2,n-C24:0,n-C25:0,diacid_unknown7,C22-diacid,n-C26:0,sterol6,n-C28:0
LYO-20180731-F-04-P2,2,,,,,,,,,,,,-31.23,-29.559,,,-26.854,,-18.242,,-29.06,,,,-30.043,,,,,,,,,,,,,-18.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYO-20180731-F-04-P2,2,,,,,,,,,,,,-31.359,-30.463,,,-26.856,,-18.293,,-29.251,,,,-30.352,,,,,,,,,,,,,-18.791,,,-10.473,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYO-20180731-I-07-P2,2,,,,,-22.282,,,-26.235,,,,-32.777,-27.19,,,-27.906,,-22.455,,,,,,-26.7,,,,,,,,,,,,,-16.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYO-20180731-I-07-P2,2,,,,,,,,,,,,,,,,-27.438,,-22.419,,,,,,-27.941,,,,,,,,,,,,,-18.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAN-20180802-A-03-P2,2,,,,,,,,-35.225,,,,-31.719,-28.655,,,-31.247,,-20.443,,,,-30.124,-13.719,,-32.456,,,,,,,,-32.566,,,-24.04101965,-22.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAN-20180802-A-03-P2,2,,,,,,,,-35.529,,,,-30.937,-29.054,,,-31.197,,-20.075,,,,-30.132,-13.937,,-32.595,,,,,,,,-32.685,,,-23.36860876,-22.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POS-20180731-G-01-P2,2,,,,,,,,-24.293,,,,-28.629,-28.054,,,,,-18.061,,-28.351,,,,,,,,-23.401,,-27.434,,-21.586,,,,-15.04257971,-15.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POS-20180731-G-01-P2,2,,,,,,,,-22.803,,,,-30.54,-27.308,,,,,-17.228,,-27.911,,,,,,,,-23.464,,-26.668,,-18.827,,,,-14.94369576,-15.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POS-20180801-A-03-P2,2,,,,,,,,,,,,,,,,-26.066,,-24.206,,,,,,,,-27.233,,,,,,,,,,,-15.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POS-20180801-A-03-P2,2,,,,,,,,,,,,,,,,-26.337,,-24.731,,,,,,,,-26.658,,,,,,,,,,,-15.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POS-20180801-F-01-P2,2,,,,,-24.711,,,-31.531,,,,,,,,-29.211,,-26.807,,,,,,,,,,,,,,,,,,,-20.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POS-20180801-F-01-P2,2,,,,,-23.63,,,-31.425,,,,,,,,-29.242,,-26.96,,,,,,,,,,,,,,,,,,,-20.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POS-20180801-F-01-P3,2,,,,,,,,,,,,,,,,-29.127,,-26.754,,,,,,,,,,,,,,,,,,,-20.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POS-20180801-F-01-P3,2,,,,,,,,,,,,,,,,-29.126,,-26.777,,,,,,,,,,,,,,,,,,,-19.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POS-20180801-F-01-P4,2,,,,,,,,,,,,,,,,-28.476,,-26.264,,,,,,,,,,,,,,,,,,,-19.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POS-20180801-F-01-P4,2,,,,,,,,,,,,,,,,-28.477,,-26.569,,,,,,,,,,,,,,,,,,,-20.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIL-20180802-B-03-P2,2,,,,,-26.062,,,-30.964,,,,-30.681,-31.483,,,-28.973,,-26.041,,-30.484,,,,-30.922,,,,,,-32.826,,,,,,,-19.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIL-20180802-B-03-P2,2,,,,,-26.047,,,-30.559,,,,-30.533,-31.486,,,-28.838,,-25.564,,-30.287,,,,-30.945,,,,,,-32.844,,,,,,,-18.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAL171109-36-P2,1,,,,,,,,,,,,,,,,-29.604,,-22.124,,,,,,-27.859,,,,,,,,,,,,,-22.741,,,-9.118,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAL171109-36-P2,1,,,,,,,,,,,,,,,,-30.05,,-22.216,,,,,,-27.411,,,,,,,,,,,,,-21.353,,,-11.818,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEL171027-20-P2,1,,,-18.646,,,,,,,,,,,,,,,-17.252,,,,,,,,,,,,,,,,,-17.92999121,-17.86077244,-18,,,-18.642,,,,,,,-18.083,,,,,,,,,,,,,,,,,,,,
YEL171027-20-P2,1,,,-18.628,,,,,,,,,,,,,,,-17.43,,,,,,,,,,,,,,,,,-18.26619666,-19.36380856,-19.497,,,-18.565,,,,,,,-18.775,,,,,,,,,,,,,,,,,,,,
YEL171111-48-P4,1,,,,,,,,,,,,-33.842,-32.924,,,-28.376,,-19.391,,-34.764,,,,-31.599,,,,,,-35.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEL171111-48-P4,1,,,,,,,,,,,,-34.383,-33.311,,,-28.278,,-16.609,,-34.358,,,,-32.106,,,,,,-34.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
